Planet,FromDate,ToDate,Direction,D1
Guru  ,13-08-2016,12-09-2017,F,6
Guru  ,13-09-2017,12-10-2018,F,7
Guru  ,13-10-2018,30-03-2019,F,8
Guru  ,31-03-2019,23-04-2019,F,9
Guru  ,24-04-2019,05-11-2019,R,8
Guru  ,06-11-2019,30-03-2020,F,9
Guru  ,31-03-2020,30-06-2020,F,10
Guru  ,01-07-2020,20-11-2020,R,9
Guru  ,21-11-2020,06-04-2021,F,10
Guru  ,07-04-2021,15-09-2021,F,11
Guru  ,16-09-2021,21-11-2021,R,10
Guru  ,22-11-2021,14-04-2022,F,11
Guru  ,15-04-2022,22-04-2023,F,12
Guru  ,23-04-2023,02-05-2024,F,1
Guru  ,03-05-2024,15-05-2025,F,2
Guru  ,16-05-2025,19-10-2025,F,3
Guru  ,20-10-2025,06-12-2025,F,4
Guru  ,07-12-2025,02-06-2026,R,3
Guru  ,03-06-2026,31-10-2026,F,4
Guru  ,01-11-2026,25-01-2027,F,5
Guru  ,26-01-2027,26-06-2027,R,4
Guru  ,27-06-2027,27-11-2027,F,5
Guru  ,28-11-2027,29-02-2028,F,6
Guru  ,01-03-2028,25-07-2028,R,5
Guru  ,26-07-2028,27-12-2028,F,6
Guru  ,28-12-2028,30-03-2029,F,7
Guru  ,31-03-2029,25-08-2029,R,6
Guru  ,26-08-2029,25-01-2030,F,7
Guru  ,26-01-2030,02-05-2030,F,8
Guru  ,03-05-2030,23-09-2030,R,7
Guru  ,24-09-2030,18-02-2031,F,8
Guru  ,19-02-2031,14-06-2031,F,9
Guru  ,15-06-2031,16-10-2031,R,8
Guru  ,17-10-2031,06-03-2032,F,9
Guru  ,07-03-2032,13-08-2032,F,10
Guru  ,14-08-2032,24-10-2032,R,9
Guru  ,25-10-2032,18-03-2033,F,10
Guru  ,19-03-2033,28-03-2034,F,11
Guru  ,29-03-2034,06-04-2035,F,12
Guru  ,07-04-2035,15-04-2036,F,1
Guru  ,16-04-2036,10-09-2036,F,2
Guru  ,11-09-2036,17-11-2036,F,3
Guru  ,18-11-2036,27-04-2037,R,2
Guru  ,28-04-2037,17-09-2037,F,3
Guru  ,18-09-2037,18-01-2038,F,4
Guru  ,19-01-2038,12-05-2038,R,3
Guru  ,13-05-2038,07-10-2038,F,4
Guru  ,08-10-2038,04-03-2039,F,5
Guru  ,05-03-2039,02-06-2039,R,4
Guru  ,03-06-2039,04-11-2039,F,5
Guru  ,05-11-2039,07-04-2040,F,6
Guru  ,08-04-2040,30-06-2040,R,5
Guru  ,01-07-2040,04-12-2040,F,6
Guru  ,05-12-2040,07-05-2041,F,7
Guru  ,08-05-2041,31-07-2041,R,6
Guru  ,01-08-2041,03-01-2042,F,7
Guru  ,04-01-2042,10-06-2042,F,8
Guru  ,11-06-2042,28-08-2042,R,7
Guru  ,29-08-2042,28-01-2043,F,8
Guru  ,29-01-2043,31-07-2043,F,9
Guru  ,01-08-2043,11-09-2043,R,8
Guru  ,12-09-2043,16-02-2044,F,9
Guru  ,17-02-2044,02-03-2045,F,10
Guru  ,03-03-2045,13-03-2046,F,11
Guru  ,14-03-2046,22-03-2047,F,12
Guru  ,23-03-2047,19-08-2047,F,1
Guru  ,20-08-2047,11-10-2047,F,2
Guru  ,12-10-2047,28-03-2048,R,1
Guru  ,29-03-2048,13-08-2048,F,2
Guru  ,14-08-2048,28-12-2048,F,3
Guru  ,29-12-2048,03-04-2049,R,2
Guru  ,04-04-2049,28-08-2049,F,3
Guru  ,29-08-2049,09-03-2050,F,4
Guru  ,10-03-2050,02-04-2050,R,3
Guru  ,03-04-2050,19-09-2050,F,4
Guru  ,20-09-2050,18-10-2051,F,5
Guru  ,19-10-2051,16-11-2052,F,6
Guru  ,17-11-2052,16-12-2053,F,7
Guru  ,17-12-2053,11-01-2055,F,8
Guru  ,12-01-2055,31-01-2056,F,9
Guru  ,01-02-2056,15-02-2057,F,10
Guru  ,16-02-2057,25-02-2058,F,11
Guru  ,26-02-2058,04-03-2059,F,12
Guru  ,05-03-2059,17-07-2059,F,1
Guru  ,18-07-2059,26-11-2059,F,2
Guru  ,27-11-2059,05-03-2060,R,1
Guru  ,06-03-2060,24-07-2060,F,2
Guru  ,25-07-2060,10-08-2061,F,3
Guru  ,11-08-2061,03-09-2062,F,4
Guru  ,04-09-2062,02-10-2063,F,5
Guru  ,03-10-2063,01-11-2064,F,6
Guru  ,02-11-2064,01-12-2065,F,7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
